graph_type,n,seed,original_node_count,original_edge_count,original_density,sampling_method,sampling_rate,sampled_node_count,sampled_edge_count,pagerank_runtime_full_sec,pagerank_runtime_sampled_sec,connected_components_runtime_full_sec,connected_components_runtime_sampled_sec,pagerank_top10_overlap_count,pagerank_top10_overlap_pct,edge_retention_pct,density_change_pct,connected_component_count_diff,pagerank_runtime_saved_pct,cc_runtime_saved_pct,full_connected_component_count,sampled_connected_component_count
erdos_renyi,5000,1236,5000,20132,0.001610882176435287,random_edge,0.75,4992,15099,0.015271707999999995,0.012787083000000088,0.0016262500000001623,0.0017184999999999562,4,40.0,75.0,-24.759398648336237,-1,16.269463769212376,-5.6725595695486355,2,1
erdos_renyi,5000,1236,5000,20132,0.001610882176435287,random_node,0.25,1250,1258,0.015271707999999995,0.002542333999999924,0.0016262500000001623,0.00035249999999997783,1,10.0,6.248758195907014,0.04016724207897597,212,83.35265446405913,78.32436587240936,2,214
erdos_renyi,5000,1236,5000,20132,0.001610882176435287,random_node,0.5,2500,4970,0.015271707999999995,0.02572191700000004,0.0016262500000001623,0.0010301660000000545,2,20.0,24.687065368567453,-1.2319809704131945,58,-68.42855429137362,36.65389700230889,2,60
erdos_renyi,5000,1236,5000,20132,0.001610882176435287,random_node,0.75,3750,11362,0.015271707999999995,0.009407541000000297,0.0016262500000001623,0.001255915999999857,6,60.0,56.437512418040924,0.34004608439108136,6,38.398894216676354,22.772267486565305,2,8
erdos_renyi,5000,1236,5000,20132,0.001610882176435287,random_walk,0.25,1250,2346,0.015271707999999995,0.0027637910000000154,0.0016262500000001623,0.00033358400000027544,1,10.0,11.65308960858335,86.56139296495809,-1,81.90254161486052,79.4875326671642,2,1
erdos_renyi,5000,1236,5000,20132,0.001610882176435287,random_walk,0.5,2500,6718,0.015271707999999995,0.005936875000000175,0.0016262500000001623,0.0007839579999999735,1,10.0,33.3697595867276,33.50574483717588,-1,61.12500972386208,51.793512682558315,2,1
erdos_renyi,5000,1236,5000,20132,0.001610882176435287,random_walk,0.75,3750,13057,0.015271707999999995,0.010094167000000098,0.0016262500000001623,0.001245374999999882,2,20.0,64.85694416848798,15.308922876596927,-1,33.9028286816373,23.42044581092958,2,1
watts_strogatz,1000,1434,1000,3000,0.006006006006006006,random_edge,0.25,821,750,0.0025885830000000887,0.0017569580000000862,0.00022300000000008424,0.00024487500000036633,0,0.0,25.0,-62.90217165265442,121,32.126649985724775,-9.809417040481534,1,122
watts_strogatz,1000,1434,1000,3000,0.006006006006006006,random_edge,0.5,972,1500,0.0025885830000000887,0.0018866250000000306,0.00022300000000008424,0.00018120800000032133,0,0.0,50.0,-47.07632452225655,6,27.117461561017514,18.740807174774492,1,7
watts_strogatz,1000,1434,1000,3000,0.006006006006006006,random_edge,0.75,999,2250,0.0025885830000000887,0.002345540999999951,0.00022300000000008424,0.00021445900000038876,3,30.0,75.0,-24.84969939879759,0,9.388997764418963,3.8300448429113274,1,1
watts_strogatz,1000,1434,1000,3000,0.006006006006006006,random_node,0.25,250,190,0.0025885830000000887,0.00114716700000006,0.00022300000000008424,7.770900000014791e-05,1,10.0,6.333333333333334,1.6385542168674672,89,55.68359214288201,65.15291479815312,1,90
watts_strogatz,1000,1434,1000,3000,0.006006006006006006,random_node,0.5,500,730,0.0025885830000000887,0.0012975840000000183,0.00022300000000008424,0.00011049999999990234,0,0.0,24.333333333333336,-2.5691382765531126,16,49.872806859970346,50.44843049333605,1,17
watts_strogatz,1000,1434,1000,3000,0.006006006006006006,random_node,0.75,750,1702,0.0025885830000000887,0.0019469579999999986,0.00022300000000008424,0.00016333300000015427,1,10.0,56.733333333333334,0.8929238985313765,0,24.78672694675303,26.756502242110958,1,1
